date,clicks
1/15/2021,39172
1/16/2021,42707
1/17/2021,37401
1/18/2021,42526
1/19/2021,38700
1/20/2021,34674
1/21/2021,38730
1/22/2021,40059
1/23/2021,43633
1/24/2021,37390
1/25/2021,40326
1/26/2021,39262
1/27/2021,38142
1/28/2021,37997
1/29/2021,39877
1/30/2021,42971
1/31/2021,36436
2/1/2021,39137
2/2/2021,38380
2/3/2021,38676
2/4/2021,38606
2/5/2021,39908
2/6/2021,42736
2/7/2021,32234
2/8/2021,39964
2/9/2021,39291
2/10/2021,38798
2/11/2021,38290
2/12/2021,39985
2/13/2021,40638
2/14/2021,33854
2/15/2021,39201
2/16/2021,35685
2/17/2021,36162
2/18/2021,38651
2/19/2021,41581
2/20/2021,44250
2/21/2021,38808
2/22/2021,43843
2/23/2021,42747
2/24/2021,44008
2/25/2021,43389
2/26/2021,44305
2/27/2021,47471
2/28/2021,40750
